Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.21,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
552,3.24E-01,2.06E-01,0.2826474,2,552,Not eroded,0,1,1,1,1,1,1,1,0,1,1,1
556,2.39E-01,1.55E-01,0.2643263,0,556,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
564,1.94E-01,2.89E-01,0.2981891,0,564,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
566,1.35E-01,2.78E-01,0.3189226,0,566,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
568,1.35E-01,2.49E-01,0.2997314,0,568,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
574,1.38E-01,2.60E-01,0.324885,0,574,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
576,1.77E-01,1.66E-01,0.2470097,3,576,Not eroded,0,1,1,1,1,1,0,1,0,0,1,1
577,1.94E-01,1.40E-01,0.2872673,0,577,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
578,2.14E-01,2.57E-01,0.2981252,4,578,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
582,2.12E-01,3.08E-01,0.3067566,0,582,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
583,1.10E-01,3.07E-01,0.3099924,0,583,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
592,1.35E-01,9.47E-02,0.2724159,0,592,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
596,2.26E-01,1.11E-01,0.2344559,3,596,Not eroded,0,1,1,1,1,0,0,1,0,0,1,1
600,3.23E-01,2.47E-01,0.3101775,0,600,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
602,2.08E-01,2.13E-01,0.2576176,0,602,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
603,3.05E-01,9.81E-02,0.3339594,0,603,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
606,2.39E-01,1.74E-01,0.2224905,4,606,Not eroded,0,1,1,1,0,0,0,0,0,0,1,1
610,1.30E-01,1.36E-01,0.2344228,5,610,Not eroded,0,1,1,1,1,0,0,0,0,0,0,1
612,2.34E-01,2.93E-01,0.3259417,0,612,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
616,1.87E-01,2.82E-01,0.2724619,0,616,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
617,3.24E-01,2.73E-01,0.2360226,3,617,Not eroded,0,1,1,1,1,0,0,1,0,0,1,1
618,2.71E-01,2.90E-01,0.2138522,5,618,Not eroded,0,1,1,0,0,0,0,0,0,0,0,1
619,2.11E-01,1.27E-01,0.24263,3,619,Not eroded,0,1,1,1,1,1,0,1,0,0,1,1
628,3.17E-01,2.49E-01,0.2167238,4,628,Not eroded,0,1,1,0,0,0,0,0,0,0,1,1
630,1.71E-01,2.01E-01,0.288057,0,630,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
638,2.19E-01,6.52E-02,0.256549,5,638,Not eroded,0,1,1,1,1,1,1,0,0,0,0,1
639,2.08E-01,2.41E-01,0.2745797,0,639,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
642,1.48E-01,1.71E-01,0.264004,0,642,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
644,1.66E-01,2.85E-01,0.2403031,2,644,Not eroded,0,1,1,1,1,1,0,1,0,1,1,1
645,2.62E-01,7.11E-02,0.2261572,2,645,Not eroded,0,1,1,1,0,0,0,1,0,1,1,1
650,2.27E-01,2.22E-01,0.3249892,0,650,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
651,3.10E-01,2.05E-01,0.2215354,5,651,Not eroded,0,1,1,1,0,0,0,0,0,0,0,1
652,7.20E-02,2.47E-01,0.2668591,0,652,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
655,2.64E-01,2.89E-01,0.2513654,3,655,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
656,5.65E-02,3.24E-01,0.230855,3,656,Not eroded,0,1,1,1,1,0,0,1,0,0,1,1
660,1.45E-01,5.59E-02,0.2270139,5,660,Not eroded,0,1,1,1,0,0,0,0,0,0,0,1
661,1.47E-01,2.15E-01,0.3198314,0,661,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
662,2.21E-01,8.65E-02,0.2486973,0,662,Not eroded,0,1,1,1,1,1,0,1,1,1,1,1
664,1.91E-01,9.61E-02,0.2201256,0,664,Not eroded,0,1,1,1,0,0,0,1,1,1,1,1
665,1.44E-01,2.66E-01,0.3042449,0,665,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
670,1.33E-01,2.98E-01,0.2813942,0,670,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
671,5.65E-02,3.15E-01,0.2522759,0,671,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
673,3.16E-01,1.38E-01,0.2852682,4,673,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
675,3.03E-01,2.58E-01,0.2115238,3,675,Not eroded,0,1,1,0,0,0,0,1,0,0,1,1
676,2.63E-01,2.16E-01,0.3148338,0,676,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
678,2.62E-01,3.24E-01,0.2964501,0,678,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
687,1.29E-01,2.72E-01,0.2379253,0,687,ERODED,1,1,1,1,1,0,0,1,1,1,1,1
690,1.19E-01,6.46E-02,0.2613448,7,690,Not eroded,0,1,1,1,1,1,1,0,0,0,0,0
691,2.73E-01,3.10E-01,0.3022959,0,691,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
692,2.58E-01,7.08E-02,0.2631311,3,692,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
693,5.74E-02,1.75E-01,0.277899,5,693,Not eroded,0,1,1,1,1,1,1,0,0,0,0,1
